Date of Publication,Quarter_From,Quarter_To,Year,Region,Sex,Age,Total,Total economically active,Total in employment,Unemployed,Economically inactive,Economic activity rate (%),Employment rate (%),"Unemployment
rate (%)",Economic inactivity rate (%)
Apr-Jun,Apr,Jun,2021,North East,Male,All aged 16 & over,1044136,660543,611815,48727,383593,63.3,58.6,7.4,36.7
Apr-Jun,Apr,Jun,2021,North East,Female,All aged 16 & over,1100320,612883,588354,24529,487437,55.7,53.5,4.0,44.3
Apr-Jun,Apr,Jun,2021,Yorkshire and The Humber,Male,All aged 16 & over,2151954,1417155,1343925,73230,734799,65.9,62.5,5.2,34.1
Apr-Jun,Apr,Jun,2021,Yorkshire and The Humber,Female,All aged 16 & over,2234527,1261791,1201432,60359,972736,56.5,53.8,4.8,43.5
Apr-Jun,Apr,Jun,2021,East Midlands,Male,All aged 16 & over,1906879,1250013,1192410,57603,656866,65.6,62.5,4.6,34.4
Apr-Jun,Apr,Jun,2021,East Midlands,Female,All aged 16 & over,1974187,1156877,1109610,47267,817310,58.6,56.2,4.1,41.4
Apr-Jun,Apr,Jun,2021,West Midland,Male,All aged 16 & over,2319086,1550001,1465911,84090,769085,66.8,63.2,5.4,33.2
Apr-Jun,Apr,Jun,2021,West Midland,Female,All aged 16 & over,2389145,1391530,1326949,64581,997615,58.2,55.5,4.6,41.8
Apr-Jun,Apr,Jun,2021,East of England,Male,All aged 16 & over,2457892,1681880,1615220,66660,776012,68.4,65.7,4.0,31.6
Apr-Jun,Apr,Jun,2021,East of England,Female,All aged 16 & over,2564625,1536441,1478952,57489,1028184,59.9,57.7,3.7,40.1
Apr-Jun,Apr,Jun,2021,London,Male,All aged 16 & over,3587729,2682346,2528069,154277,905383,74.8,70.5,5.8,25.2
Apr-Jun,Apr,Jun,2021,London,Female,All aged 16 & over,3622145,2384913,2218051,166862,1237232,65.8,61.2,7.0,34.2
Apr-Jun,Apr,Jun,2021,South East,Male,All aged 16 & over,3602022,2505802,2386163,119639,1096220,69.6,66.2,4.8,30.4
Apr-Jun,Apr,Jun,2021,South East,Female,All aged 16 & over,3761759,2257645,2168540,89105,1504114,60.0,57.6,3.9,40.0
Apr-Jun,Apr,Jun,2021,South West,Male,All aged 16 & over,2235678,1469683,1418995,50688,765995,65.7,63.5,3.4,34.3
Apr-Jun,Apr,Jun,2021,South West,Female,All aged 16 & over,2340997,1342342,1294077,48265,998655,57.3,55.3,3.6,42.7
Apr-Jun,Apr,Jun,2021,England,Male,All aged 16 & over,22163358,15054934,14316481,738453,7108424,67.9,64.6,4.9,32.1
Apr-Jun,Apr,Jun,2021,England,Female,All aged 16 & over,22957707,13679822,13038219,641602,9277885,59.6,56.8,4.7,40.4
Apr-Jun,Apr,Jun,2021,Wales,Male,All aged 16 & over,1254519,816396,779062,37334,438123,65.1,62.1,4.6,34.9
Apr-Jun,Apr,Jun,2021,Wales,Female,All aged 16 & over,1300904,723989,698383,25605,576915,55.7,53.7,3.5,44.3
Apr-Jun,Apr,Jun,2021,Scotland,Male,All aged 16 & over,2147616,1399299,1330683,68616,748317,65.2,62.0,4.9,34.8
Apr-Jun,Apr,Jun,2021,Scotland,Female,All aged 16 & over,2333107,1360547,1309716,50831,972560,58.3,56.1,3.7,41.7
Apr-Jun,Apr,Jun,2021,Northern Ireland,Male,All aged 16 & over,721533,440058,415723,24335,281475,61.0,57.6,5.5,39.0
Apr-Jun,Apr,Jun,2021,Northern Ireland,Female,All aged 16 & over,754797,427656,414616,13040,327141,56.7,54.9,3.0,43.3
Apr-Jun,Apr,Jun,2022,North East,Male,All aged 16 & over,1047606,656085,619279,36806,391521,62.6,59.1,5.6,37.4
Apr-Jun,Apr,Jun,2022,North East,Female,All aged 16 & over,1103855,609934,582461,27473,493921,55.3,52.8,4.5,44.7
